,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
0,,7.191865158961974e-12,0.2048746,0.16945124,0.0,,8.45918083190918,7.108863353729248
1,2.0671411631034697e-12,,0.26477167,0.21680772,0.0,,11.541175842285156,8.521312713623047
2,0.0,158860416.0,0.23734915,0.15490715,8747695104.0,0.0,9.725434303283691,5.590796947479248
3,84708968.0,0.0,0.18548423,0.14790034,,9122565120.0,7.876331806182861,5.743748664855957
4,,0.0,0.19047245,0.11872093,2.0367021560668945,4.945425180480356e-10,8.251752853393555,4.145061016082764
5,0.017328506335616112,0.035223495215177536,0.19174041,0.14973034,0.0,4.945158726954446e-10,7.827950477600098,6.219944477081299
6,,,0.18744268,0.13005063,4.742159442905347e-10,4.946049680931708e-10,6.976008415222168,4.796579360961914
7,,,0.24967894,0.17364784,,4.945943654632856e-10,10.148366928100586,6.124195575714111
8,0.01445629820227623,0.0,0.22566329,0.15472582,2.0367443561553955,,8.881333351135254,5.174230575561523
9,,137244976.0,0.21068527,0.15574431,,,8.505698204040527,6.216073989868164
10,,0.06930653750896454,0.17322339,0.10233666,0.0,9123826688.0,6.018371105194092,3.7731728553771973
11,4.335364966329136e-12,7.535960570848044e-12,0.19931862,0.1591117,,4.945794884747556e-10,8.438745498657227,5.938068389892578
12,0.0,0.034505654126405716,0.22215097,0.14990382,0.0,,8.973029136657715,6.089991569519043
13,87501168.0,,0.19975713,0.1418896,8747584512.0,2.1245038509368896,8.132091522216797,4.889582633972168
14,3.683587289360357e-12,,0.21033336,0.1524798,,2.124478340148926,8.739309310913086,5.212121486663818
15,0.0,0.0,0.21737237,0.18240966,8747517952.0,,9.075569152832031,7.623337745666504
16,0.0,301971840.0,0.17198871,0.097318456,2.0367348194122314,9124824064.0,5.724327087402344,3.003664970397949
17,,,0.24063748,0.2019188,2.036694288253784,,9.425785064697266,8.964536666870117
18,0.0,0.0,0.28495726,0.20850976,2.0367512702941895,,10.208232879638672,8.671483993530273
19,,0.022461911663413048,0.24162504,0.2034119,8747783168.0,2.124638319015503,10.134358406066895,7.7162394523620605
20,0.0,,0.25863326,0.20566311,,0.0,11.170770645141602,8.072344779968262
21,,0.02854246459901333,0.21559726,0.16936174,,,8.925626754760742,6.660390853881836
22,,,0.18303493,0.11845833,,0.0,7.247272968292236,4.49782133102417
23,0.0,0.0,0.247443,0.19330232,0.0,,9.727389335632324,7.58697509765625
